ShortHand,EN,ES,AF,AR,FR,RU,PT,ID,ZH,DE,JA,HI,NL
defaultLoaded1,"The configuration ""{0}"" does not match the device type: ""{1}"".","La configuración ""{0}"" no coincide con el tipo de dispositivo: ""{1}"".","Die konfigurasie ""{0}"" stem nie ooreen met die tipe toestel nie: ""{1}"".","لا يتطابق التكوين ""{0}"" مع نوع الجهاز: ""{1}"".","La configuration ""{0}"" ne correspond pas au type de périphérique: ""{1}"".","Конфигурация ""{0}"" не соответствует типу устройства: ""{1}"".","A configuração ""{0}"" não corresponde ao tipo de dispositivo: ""{1}"".","Konfigurasi ""{0}"" tidak cocok dengan jenis perangkat: ""{1}"".",配置“ {0}”不匹配设备类型：“ {1}”。,"Die Konfiguration ""{0}"" stimmt nicht mit dem Gerätetyp überein: ""{1}"".",構成「{0}」は、デバイスタイプ「{1}」と一致しません。,"कॉन्फ़िगरेशन ""{0}"" डिवाइस प्रकार से मेल नहीं खाता है: ""{1}""।","De configuratie ""{0}"" komt niet overeen met het apparaattype: ""{1}""."
failedOpenConfig1,"Failed to open configuration ""{0}"", loading default configuration instead.","No se pudo abrir la configuración ""{0}"", cargando la configuración predeterminada en su lugar.","Kon nie die konfigurasie ""{0}"" open nie, en laai in plaas daarvan standaardkonfigurasie.","فشل في فتح التكوين ""{0}"" ، قم بتحميل التكوين الافتراضي بدلاً من ذلك.","Impossible d'ouvrir la configuration ""{0}"", chargeant plutôt la configuration par défaut.","Не удалось открыть конфигурацию ""{0}"", вместо этого загрузка конфигурации по умолчанию.","Falha ao abrir a configuração ""{0}"", carregando a configuração padrão.","Gagal membuka konfigurasi ""{0}"", memuat konfigurasi default sebagai gantinya.",无法打开配置“ {0}”，而是加载默认配置。,"Die Konfiguration ""{0}"" nicht geöffnet und stattdessen die Standardkonfiguration geladen.",構成「{0}」を開くことに失敗し、代わりにデフォルトの構成を読み込みました。,"कॉन्फ़िगरेशन को खोलने में विफल ""{0}"", इसके बजाय डिफ़ॉल्ट कॉन्फ़िगरेशन लोड हो रहा है।","Niet om de configuratie ""{0}"" te openen, in plaats daarvan de standaardconfiguratie laden."
failedOpenConfig2,Please consider removing this configuration from the device configurations to avoid future errors.,Considere eliminar esta configuración de las configuraciones del dispositivo para evitar errores futuros.,Oorweeg dit om hierdie konfigurasie uit die toestelkonfigurasies te verwyder om toekomstige foute te vermy.,يرجى النظر في إزالة هذا التكوين من تكوينات الجهاز لتجنب الأخطاء المستقبلية.,Veuillez envisager de supprimer cette configuration des configurations de l'appareil pour éviter les erreurs futures.,"Пожалуйста, рассмотрите возможность удаления этой конфигурации из конфигураций устройства, чтобы избежать будущих ошибок.","Por favor, considere remover esta configuração das configurações do dispositivo para evitar erros futuros.",Harap pertimbangkan untuk menghapus konfigurasi ini dari konfigurasi perangkat untuk menghindari kesalahan di masa depan.,请考虑从设备配置中删除此配置，以避免将来的错误。,"Bitte ziehen Sie diese Konfiguration aus den Gerätekonfigurationen aus, um zukünftige Fehler zu vermeiden.",将来のエラーを回避するために、デバイス構成からこの構成を削除することを検討してください。,कृपया भविष्य की त्रुटियों से बचने के लिए डिवाइस कॉन्फ़िगरेशन से इस कॉन्फ़िगरेशन को हटाने पर विचार करें।,Overweeg deze configuratie uit de apparaatconfiguraties te verwijderen om toekomstige fouten te voorkomen.
noDevicesDetected,No GMK devices detected. Check connections and reinsert USB.,No hay dispositivos GMK detectados. Verifique las conexiones y vuelva a insertar USB.,Geen GMK -toestelle opgespoor nie. Kontroleer verbindings en herinSert USB.,لم يتم اكتشاف أجهزة GMK. تحقق من الاتصالات وإعادة إدخال USB.,Aucun dispositif GMK détecté. Vérifiez les connexions et réinsérez USB.,Устройства GMK не обнаружены. Проверьте соединения и повторно вставьте USB.,Nenhum dispositivo GMK detectado. Verifique as conexões e reinserir USB.,Tidak ada perangkat GMK yang terdeteksi. Periksa koneksi dan reinsert USB.,未检测到GMK设备。检查连接并重新插入USB。,Keine GMK -Geräte erkannt. Überprüfen Sie die Verbindungen und setzen Sie USB wieder ein.,GMKデバイスは検出されませんでした。接続を確認し、USBを再挿入します。,कोई GMK उपकरणों का पता नहीं चला। कनेक्शन की जाँच करें और USB को फिर से शुरू करें।,Geen GMK -apparaten gedetecteerd. Controleer de verbindingen en herinspanning USB.
rescanning,"USB device count changed, scanning devices...","Recuento de dispositivos USB cambiado, dispositivos de escaneo ...","USB -toesteltelling het verander, skandeetoestelle ...",تم تغيير عدد أجهزة USB ، أجهزة المسح ...,"Le nombre de périphériques USB a changé, les appareils de numérisation ...","USB -устройства изменилось, сканирующие устройства ...","A contagem de dispositivos USB mudou, os dispositivos de digitalização ...","Hitungan perangkat USB diubah, perangkat pemindaian ...",USB设备计数更改，扫描设备...,"USB -Gerätezahl geändert, Scan -Geräte ...",USBデバイスカウントの変更、スキャンデバイス...,"USB डिवाइस काउंट बदल गया, स्कैनिंग डिवाइस ...","USB -apparaat aantal gewijzigd, scanapparaten ..."
scanning,Scanning USB devices...,Escaneo de dispositivos USB ...,USB -toestelle skandeer ...,مسح أجهزة USB ...,Analyser les appareils USB ...,Сканирование устройств USB ...,Digitalizando dispositivos USB ...,Memindai perangkat USB ...,扫描USB设备...,Scannen von USB -Geräten ...,USBデバイスのスキャン...,स्कैनिंग यूएसबी डिवाइस ...,USB -apparaten scannen ...
key1,Key 1,Clave 1,Sleutel 1,مفتاح 1,Clé 1,Ключ 1,Chave 1,Kunci 1,钥匙1,Schlüssel 1,キー1,कुंजी 1,Sleutel 1
key2,Key 2,Clave 2,Sleutel 2,المفتاح 2,Clé 2,Ключ 2,Chave 2,Kunci 2,钥匙2,Schlüssel 2,キー2,कुंजी 2,Sleutel 2
key3,Key 3,Clave 3,Sleutel 3,المفتاح 3,Clé 3,Ключ 3,Chave 3,Kunci 3,钥匙3,Schlüssel 3,キー3,कुंजी 3,Sleutel 3
keyPress,Keypress,Llave,Sleuteldruk,ضغط المفتاح,Appuyez sur la touche,Нажатие клавиши,Pressione o botão,Keypress,按键,Tastendruck,キープレス,बटन दबाओ,Toets indrukken
configNameAlreadyFound,"There is already a configuration named, ""{0}"", please rename it.","Ya hay una configuración nombrada ""{0}"", por favor cambie el nombre.","Daar is reeds 'n konfigurasie met die naam, ""{0}"", hernoem dit asseblief.","يوجد بالفعل تكوين يسمى ، ""{0}"" ، يرجى إعادة تسميته.","Il y a déjà une configuration nommée, ""{0}"", veuillez le renommer.","Уже есть конфигурация с именем «{0}», пожалуйста, переименуйте ее.","Já existe uma configuração chamada ""{0}"", renomeie -a.","Sudah ada konfigurasi bernama, ""{0}"", tolong ganti nama.",已经有一个名为“ {0}”的配置，请重命名。,"Es gibt bereits eine Konfiguration mit dem Namen ""{0}"", bitte benennen Sie sie um.",「{0}」という名前の構成が既にあります。名前を変更してください。,"पहले से ही एक कॉन्फ़िगरेशन है, जिसका नाम है, ""{0}"", कृपया इसका नाम बदलें।","Er is al een configuratie met de naam ""{0}"", hernoem deze."
error,Error,Error,Fout,خطأ,Erreur,Ошибка,Erro,Kesalahan,错误,Fehler,エラー,गलती,Fout
keyMappings,Key Mapping,Mapeo de llave,Sleutelkartering,رسم الخرائط المفتاح,Cartographie clé,Картирование ключей,Mapeamento de chaves,Pemetaan kunci,钥匙映射,Schlüsselzuordnung,キーマッピング,मुख्य मानचित्रण,Key Mapping
up,Up,Arriba,Opwaarts,أعلى,En haut,Вверх,Acima,Ke atas,向上,Hoch,上,ऊपर,Omhoog
down,Down,Abajo,Af,تحت,Bas,Вниз,Abaixo,Turun,向下,Runter,下,नीचे,Omlaag
left,Left,Izquierda,Links,غادر,Gauche,Левый,Esquerda,Kiri,左边,Links,左,बाएं,Links
right,Right,Bien,Regs,يمين,Droite,Верно,Certo,Benar,正确的,Rechts,右,सही,Rechts
update,Update,Actualizar,Opdateer,تحديث,Mise à jour,Обновлять,Atualizar,Memperbarui,更新,Aktualisieren,アップデート,अद्यतन,Update
newVersion,New Version: {0},Nueva versión: {0},Nuwe weergawe: {0},إصدار جديد: {0},Nouvelle version: {0},Новая версия: {0},Nova versão: {0},Versi baru: {0},新版本：{0},Neue Version: {0},新しいバージョン：{0},नया संस्करण: {0},Nieuwe versie: {0}
oldVersion,Last Run Version: {0},Última versión de ejecución: {0},Laaste weergawe: {0},إصدار التشغيل الأخير: {0},Version de la dernière exécution: {0},Версия последнего запуска: {0},Última versão de execução: {0},Versi Last Run: {0},最后一个运行版：{0},Letzte Run -Version: {0},最終実行バージョン：{0},अंतिम रन संस्करण: {0},Last Run -versie: {0}
offsetLink,Be sure to visit http://offset-power.net/ for update notes.,Asegúrese de visitar http://offset-power.net/ para obtener notas de actualización.,Besoek http://offset-power.net/ vir opdateringsnotas.,تأكد من زيارة http://offset-power.net/ للحصول على ملاحظات التحديث.,Assurez-vous de visiter http://offset-power.net/ pour les notes de mise à jour.,Обязательно посетите http://offset-power.net/ для обновления заметок.,Não deixe de visitar http://offset-power.net/ para obter notas de atualização.,Pastikan untuk mengunjungi http://offset-power.net/ untuk catatan pembaruan.,请务必访问http://offset-power.net/以获取更新说明。,"Besuchen Sie http://offset-bower.net/, um Update-Notizen zu erhalten.",更新ノートについては、必ずhttp://offset-power.net/にアクセスしてください。,अपडेट नोट्स के लिए http://offset-power.net/ पर जाएँ।,Zorg ervoor dat u http://offset-power.net/ bezoekt voor UPDATE Notes.
gmkUpdated,GMK Driver has been updated!,¡El controlador GMK ha sido actualizado!,GMK -bestuurder is opgedateer!,تم تحديث برنامج تشغيل GMK!,Le pilote GMK a été mis à jour!,Драйвер GMK был обновлен!,O driver GMK foi atualizado!,Driver GMK telah diperbarui!,GMK驱动程序已更新！,GMK -Treiber wurde aktualisiert!,GMKドライバーが更新されました！,GMK ड्राइवर को अपडेट किया गया है!,GMK -stuurprogramma is bijgewerkt!
